1111101 杨展彭 20000.0 10000.0 10000.0 10000.0 50000.0 11375.0 44550.0
1111102 严力 10000.0 10000.0 2000.0 1000.0 23000.0 4175.0 16600.0
1111103 张三 20000.0 20000.0 1000.0 1000.0 42000.0 8975.0 33875.0
1111104 李莉 10000.0 2000.0 1000.0 1000.0 14000.0 1675.0 9400.0
1111105 刘鑫 20000.0 10000.0 300.0 200.0 30500.0 6050.0 25250.0
1111106 许三 20000.0 3000.0 300.0 500.0 23800.0 4375.0 20225.0
1111107 陈晨 10000.0 2000.0 2000.0 2000.0 16000.0 2075.0 11000.0
1111108 王墨墨 20000.0 1000.0 2000.0 2000.0 25000.0 4675.0 21125.0
1111109 李依 30000.0 30000.0 30000.0 10000.0 100000.0 28025.0 89900.0
1111110 姚灿林 10000.0 1000.0 1000.0 1000.0 13000.0 1475.0 8600.0
1111111 万芳 10000.0 2000.0 2000.0 2000.0 16000.0 2075.0 11000.0
1111112 刘强东 20000.0 20000.0 2000.0 2000.0 44000.0 9575.0 40350.0
1111113 言文 30000.0 3000.0 3000.0 3000.0 39000.0 8175.0 3445.0
1111114 钱姻 5000.0 3000.0 1000.0 1000.0 10000.0 875.0 6200.0
1111115 元三十 3000.0 2000.0 300.0 5000.0 10300.0 935.0 6440.0
1111116 付段 2000.0 2000.0 3000.0 1000.0 8000.0 525.0 4125.0
1111117 陈睿 3000.0 2000.0 1000.0 1000.0 7000.0 375.0 3275.0
1111118 刘保变 10000.0 1000.0 200.0 200.0 11400.0 1155.0 7320.0
1111119 赵敏 10000.0 1000.0 200.0 200.0 11400.0 1155.0 7320.0
1111120 车飞 1000.0 2000.0 1000.0 100.0 4100.0 40.0 590.0
1111121 刘莉莉 5000.0 5000.0 5000.0 5000.0 20000.0 2875.0 2680.0
1111122 陆关生 3000.0 2000.0 500.0 300.0 5800.0 295.0 2255.0
1111123 贾政 3000.0 3000.0 1000.0 500.0 7500.0 450.0 3700.0
1111124 周海萍 3000.0 1000.0 200.0 300.0 4500.0 100.0 950.0
1111125 闫妮 3000.0 3000.0 1000.0 500.0 7500.0 450.0 3700.0
1111126 杨展彭 20000.0 10000.0 10000.0 10000.0 50000.0 11375.0 44550.0
1111127 严力 10000.0 10000.0 2000.0 1000.0 23000.0 4175.0 16600.0
1111128 张三 20000.0 20000.0 1000.0 1000.0 42000.0 8975.0 33875.0
1111129 李莉 10000.0 2000.0 1000.0 1000.0 14000.0 1675.0 9400.0
1111130 刘鑫 20000.0 10000.0 300.0 200.0 30500.0 6050.0 25250.0
1111131 许三 20000.0 3000.0 300.0 500.0 23800.0 4375.0 20225.0
1111132 陈晨 10000.0 2000.0 2000.0 2000.0 16000.0 2075.0 11000.0
1111133 王墨墨 20000.0 1000.0 2000.0 2000.0 25000.0 4675.0 21125.0
1111134 李依 30000.0 30000.0 30000.0 10000.0 100000.0 28025.0 89900.0
1111135 姚灿林 10000.0 1000.0 1000.0 1000.0 13000.0 1475.0 8600.0
1111136 万芳 10000.0 2000.0 2000.0 2000.0 16000.0 2075.0 11000.0
1111137 刘强东 20000.0 20000.0 2000.0 2000.0 44000.0 9575.0 40350.0
1111138 房雷 20000.0 2000.0 200.0 200.0 22400.0 4025.0 3445.0
1111139 钱姻 5000.0 3000.0 1000.0 1000.0 10000.0 875.0 6200.0
1111140 元三十 3000.0 2000.0 300.0 5000.0 10300.0 935.0 6440.0
1111141 付段 2000.0 2000.0 3000.0 1000.0 8000.0 525.0 4125.0
1111142 陈睿 3000.0 2000.0 1000.0 1000.0 7000.0 375.0 3275.0
1111143 刘保变 10000.0 1000.0 200.0 200.0 11400.0 1155.0 7320.0
1111144 赵敏 10000.0 1000.0 200.0 200.0 11400.0 1155.0 7320.0
1111145 车飞 1000.0 2000.0 1000.0 100.0 4100.0 40.0 590.0
1111146 刘希 5000.0 4000.0 4000.0 5000.0 18000.0 2475.0 15125.0
1111147 陆关生 3000.0 2000.0 500.0 300.0 5800.0 295.0 2255.0
1111148 贾政 3000.0 3000.0 1000.0 500.0 7500.0 450.0 3700.0
1111149 周海萍 3000.0 1000.0 200.0 300.0 4500.0 100.0 950.0
1111150 闫妮 3000.0 3000.0 1000.0 500.0 7500.0 15.0 7485.0
